scenario,n_weeds,n_reachable,n_unreachable,cycle_time_s,path_reduction_pct
0,7,6,1,3.84,41.2
1,3,3,0,2.69,5.3
2,3,3,0,2.3,-2.1
3,5,5,0,3.54,35.7
4,6,4,2,2.85,22.5
5,8,7,1,4.19,40.3
6,5,5,0,3.79,15.2
7,8,8,0,4.88,37.1
8,3,3,0,1.92,10.1
9,7,6,1,3.99,20.2
10,6,4,2,3.23,19.5
11,7,7,0,4.47,45.9
12,4,4,0,2.95,-0.8
13,3,3,0,1.98,0.0
14,6,5,1,3.95,8.3
15,7,4,3,2.71,-5.9
16,7,7,0,4.58,29.9
17,3,2,1,1.67,-0.0
18,3,3,0,1.88,-1.1
19,3,2,1,1.23,0.0
20,4,3,1,2.49,2.7
21,5,4,1,2.72,38.3
22,8,6,2,3.49,37.3
23,5,3,2,2.15,32.1
24,7,6,1,4.02,36.3
,,,,,
mean,,,,3.1,18.72
std,,,,0.986,16.96
min,,,,1.23,-5.9
max,,,,4.88,45.9
